x,y,cohort,time,salience
-0.06239831883680339,0.03989508854284022,0,157,4.0
-0.06201396026668759,0.045393777885603434,0,158,2.0
-0.06207040858352262,0.04591042384017183,0,159,1.0
-0.062027790145736804,0.04643545867884058,0,160,6.0
0.07120165959458939,0.011819790931220275,1,0,9.0
0.08522047860098732,0.03259109471091148,1,1,
0.0909433262658263,0.03834134452313798,1,2,
0.0950448203792701,0.04366176839941036,1,3,
0.09934461366062317,0.04813161684270529,1,4,
0.1006516469676958,0.049601727411251746,1,5,
0.10749380323710192,0.05618456204027178,1,6,
0.10944130633476377,0.05767125831746008,1,7,
0.11517417306430715,0.06177290739354525,1,8,
0.11733814750731544,0.062195905756532874,1,9,
0.11907407140082106,0.06220727787771576,1,10,
0.11926913102445376,0.06105488328986138,1,11,
0.11683746270731557,0.0573019613048189,1,12,
0.11600158620989616,0.05434466138469315,1,13,
0.10891334421125774,0.04504894345239398,1,14,
0.10348747352682314,0.03016740569685589,1,15,
0.10211304083932879,0.02590500726272967,1,16,
0.09592020798056175,0.01878295062144258,1,17,
0.1020763729265933,0.024040291908043052,1,18,
0.10428434771548967,0.025702605738106645,1,19,
0.10714001960129985,0.02745436699077027,1,20,
0.10896537369611616,0.02776179116946932,1,21,
0.10824455822667457,0.026300317258333296,1,22,
0.10580292288966568,0.022928493266061008,1,23,
0.10171860437548758,0.019928953132509447,1,24,
0.09798585957919546,0.016960791538789568,1,25,
0.09468328667303713,0.014926432411366328,1,26,
0.0893653158813831,0.011274811643793452,1,27,
0.08239654978834789,0.005559054681494039,1,28,
0.07475181205217266,-0.0015170573933159731,1,29,
0.06636863108282623,-0.005231740457629256,1,30,
0.07016710285163776,-0.005413820392882534,1,31,
0.06615023886750016,-0.00870929089421785,1,32,
0.06970932680768145,-0.00796076590527747,1,33,
0.06824775644880027,-0.010478535874053624,1,34,
0.06721022724474818,-0.012220503421757465,1,35,
0.06334968477407765,-0.015047735725872188,1,36,
0.0613890661312699,-0.01663687116816138,1,37,
0.05802540685182113,-0.019837532542054483,1,38,
0.057435915880375325,-0.020460624799276555,1,39,
0.06146513141323243,-0.018494391141542724,1,40,
0.06211874375574491,-0.018559148877936076,1,41,
0.06462495728123761,-0.017453357363175184,1,42,
0.06297987614437915,-0.018603313733188135,1,43,
0.05561483862196538,-0.024123591647984003,1,44,
0.04412814656996893,-0.031612364944137675,1,45,
0.04159654929976823,-0.03479752763693419,1,46,
0.03947517111143664,-0.03430618546576519,1,47,
